elapsed (s),x-axis (g),y-axis (g),z-axis (g)
40.64,0.58,-0.657,-0.539
40.72,0.623,-0.746,-0.518
40.8,0.618,-0.606,-0.424
40.88,0.606,-0.738,-0.395
40.96,0.635,-0.635,-0.486
41.04,0.588,-0.657,-0.491
41.12,0.598,-0.556,-0.502
41.2,0.63,-0.443,-0.5920000000000001
41.28,0.583,-0.35,-0.6
41.36,0.622,-0.302,-0.608
41.44,0.722,-0.29,-0.617
41.52,0.638,-0.3720000000000001,-0.6509999999999999
41.6,0.6629999999999999,-0.299,-0.695
41.68,0.693,-0.391,-0.659
41.76,0.62,-0.354,-0.619
41.84,0.611,-0.162,-0.639
41.92,0.762,-0.28600000000000003,-0.741
42.0,0.6890000000000001,-0.455,-0.6509999999999999
42.08,0.706,-0.31,-0.633
42.16,0.748,-0.065,-0.486
42.24,0.8370000000000001,-0.073,-0.655
42.32,1.035,0.108,-1.022
42.4,1.101,0.394,-0.611
42.48,0.969,0.268,-0.453
42.56,0.867,0.299,-0.562
42.64,0.623,0.366,-0.578
42.72,0.615,0.394,-0.391
42.8,0.857,0.476,-0.392
42.88,1.05,0.451,-0.428
42.96,1.055,0.393,-0.368
43.04,1.028,0.406,-0.395
43.12,0.908,0.345,-0.488
43.2,0.838,0.256,-0.477
43.28,0.945,0.058,-0.418
43.36,0.879,0.033,-0.208
43.44,0.7809999999999999,0.101,-0.171
43.52,0.746,0.17800000000000002,-0.115
43.6,0.7929999999999999,0.226,0.052000000000000005
43.68,0.878,0.309,0.136
43.76,0.911,0.297,0.171
43.84,0.915,0.237,0.191
43.92,0.933,0.135,0.241
44.0,0.956,0.189,0.161
44.08,1.006,0.396,0.13
44.16,0.932,0.625,-0.08
44.24,1.241,0.746,-0.238
44.32,1.32,0.7809999999999999,-0.196
44.4,1.164,0.674,-0.365
44.48,0.908,0.615,-0.391
44.56,0.665,0.688,-0.326
44.64,0.557,0.546,-0.277
44.72,0.607,0.343,-0.132
44.8,0.521,0.243,-0.166
44.88,0.6709999999999999,0.063,0.267
44.96,0.96,0.198,0.317
45.04,1.11,0.307,0.378
45.12,1.136,0.258,0.365
45.2,0.929,0.241,0.22
45.28,0.8590000000000001,0.188,0.081
45.36,0.965,0.235,0.078
45.44,0.965,0.228,0.1
